wave,pidp,hidp,pno,age,race,country,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,jbsoc00_cc,jbsoc10_cc,industry,fimnlabgrs_dv,numChild,aidhh,sex,qfhigh_dv,birth_year,momeduc,ability
ba,pidp,hidp,pno,age,race,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,NA,NA,jbsic,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,NA,NA,NA
bb,pidp,hidp,pno,age,race,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,NA,NA,jbsic,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
bc,pidp,hidp,pno,age,race,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,NA,NA,jbsic,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
bd,pidp,hidp,pno,age,race,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,NA,NA,jbsic,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
be,pidp,hidp,pno,age,race,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,NA,NA,jbsic,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
bf,pidp,hidp,pno,age,race,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,NA,NA,jbsic,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
bg,pidp,hidp,pno,age,race,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,NA,NA,jbsic,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
bh,pidp,hidp,pno,age,race,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,NA,NA,jbsic,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
bi,pidp,hidp,pno,age,race,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,NA,NA,jbsic,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
bj,pidp,hidp,pno,age,race,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,NA,NA,jbsic,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
bk,pidp,hidp,pno,age,race,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,jbsoc00_cc,NA,jbsic,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
bl,pidp,hidp,pno,age,race,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,jbsoc00_cc,NA,NA,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
bm,pidp,hidp,pno,age,NA,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,jbsoc00_cc,NA,NA,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,maedqf,NA
bn,pidp,hidp,pno,age,NA,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,jbsoc00_cc,NA,NA,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
bo,pidp,hidp,pno,age,NA,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,jbsoc00_cc,NA,NA,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
bp,pidp,hidp,pno,age,NA,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,jbsoc00_cc,NA,NA,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
bq,pidp,hidp,pno,age,NA,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,jbsoc00_cc,NA,NA,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
br,pidp,hidp,pno,age,NA,NA,gor_dv,hiqual_dv,jbstat,jbhrs,jbsoc90_cc,jbsoc00_cc,NA,NA,fimnlabgrs_dv,nchild_dv,aidhh,sex,NA,birthy,NA,NA
a,pidp,hidp,pno,age_dv,racel_dv,country,gor_dv,hiqual_dv,jbstat,jbhrs,NA,jbsoc00_cc,jbsoc10_cc,jbsic07_cc,fimnlabgrs_dv,nchild_dv,aidhh,sex,qfhigh_dv,birthy,maedqf,NA
b,pidp,hidp,pno,age_dv,racel_dv,country,gor_dv,hiqual_dv,jbstat,jbhrs,NA,jbsoc00_cc,jbsoc10_cc,jbsic07_cc,fimnlabgrs_dv,nchild_dv,aidhh,sex,qfhigh_dv,birthy,maedqf,NA
c,pidp,hidp,pno,age_dv,racel_dv,country,gor_dv,hiqual_dv,jbstat,jbhrs,NA,jbsoc00_cc,jbsoc10_cc,jbsic07_cc,fimnlabgrs_dv,nchild_dv,aidhh,sex,qfhigh_dv,birthy,NA,cgwrd_dv
d,pidp,hidp,pno,age_dv,racel_dv,country,gor_dv,hiqual_dv,jbstat,jbhrs,NA,jbsoc00_cc,jbsoc10_cc,jbsic07_cc,fimnlabgrs_dv,nchild_dv,aidhh,sex,qfhigh_dv,birthy,NA,NA
e,pidp,hidp,pno,age_dv,racel_dv,country,gor_dv,hiqual_dv,jbstat,jbhrs,NA,jbsoc00_cc,jbsoc10_cc,jbsic07_cc,fimnlabgrs_dv,nchild_dv,aidhh,sex,qfhigh_dv,birthy,NA,NA
f,pidp,hidp,pno,age_dv,racel_dv,country,gor_dv,hiqual_dv,jbstat,jbhrs,NA,jbsoc00_cc,jbsoc10_cc,jbsic07_cc,fimnlabgrs_dv,nchild_dv,aidhh,sex,qfhigh_dv,birthy,maedqf,NA
g,pidp,hidp,pno,age_dv,racel_dv,country,gor_dv,hiqual_dv,jbstat,jbhrs,NA,jbsoc00_cc,jbsoc10_cc,jbsic07_cc,fimnlabgrs_dv,nchild_dv,aidhh,sex,qfhigh_dv,birthy,NA,NA
h,pidp,hidp,pno,age_dv,racel_dv,country,gor_dv,hiqual_dv,jbstat,jbhrs,NA,jbsoc00_cc,jbsoc10_cc,jbsic07_cc,fimnlabgrs_dv,nchild_dv,aidhh,sex,qfhigh_dv,birthy,NA,NA
i,pidp,hidp,pno,age_dv,racel_dv,country,gor_dv,hiqual_dv,jbstat,jbhrs,NA,jbsoc00_cc,jbsoc10_cc,jbsic07_cc,fimnlabgrs_dv,nchild_dv,aidhh,sex,qfhigh_dv,birthy,NA,NA
j,pidp,hidp,pno,age_dv,racel_dv,country,gor_dv,hiqual_dv,jbstat,jbhrs,NA,jbsoc00_cc,jbsoc10_cc,jbsic07_cc,fimnlabgrs_dv,nchild_dv,aidhh,sex,qfhigh_dv,birthy,NA,NA
k,pidp,hidp,pno,age_dv,racel_dv,country,gor_dv,hiqual_dv,jbstat,jbhrs,NA,jbsoc00_cc,jbsoc10_cc,jbsic07_cc,fimnlabgrs_dv,nchild_dv,aidhh,sex,qfhigh_dv,birthy,NA,NA
l,pidp,hidp,pno,age_dv,racel_dv,country,gor_dv,hiqual_dv,jbstat,jbhrs,NA,jbsoc00_cc,jbsoc10_cc,jbsic07_cc,fimnlabgrs_dv,nchild_dv,aidhh,sex,qfhigh_dv,birthy,NA,NA
m,pidp,hidp,pno,age_dv,racel_dv,country,gor_dv,hiqual_dv,jbstat,jbhrs,NA,jbsoc00_cc,jbsoc10_cc,jbsic07_cc,fimnlabgrs_dv,nchild_dv,aidhh,sex,qfhigh_dv,birthy,NA,NA
n,pidp,hidp,pno,age_dv,racel_dv,country,gor_dv,hiqual_dv,jbstat,jbhrs,NA,jbsoc00_cc,jbsoc10_cc,jbsic07_cc,fimnlabgrs_dv,nchild_dv,aidhh,sex,qfhigh_dv,birthy,maedqf,NA
o,pidp,hidp,pno,age_dv,racel_dv,country,gor_dv,hiqual_dv,jbstat,jbhrs,NA,jbsoc00_cc,jbsoc10_cc,jbsic07_cc,fimnlabgrs_dv,nchild_dv,aidhh,sex,qfhigh_dv,birthy,maedqf,NA
