"Education","All","male","female","White","Black","Asian","Mixed"
"ALevel",0.585719598363704,0.549180327868853,0.615199507527002,0.586288912207065,0.524547803617571,0.596878568709555,0.557142857142857
"VOC",0.119654146522871,0.131703250903029,0.109966981924002,0.111997201818818,0.250645994832041,0.156832889227255,0.2
"Bachelor",0.263511838353787,0.225479299805502,0.294028764900106,0.256523259881077,0.25968992248062,0.336124857251618,0.25
"HigherDeg",0.0807921160282633,0.0820366768546819,0.0797470479601545,0.0793634137810423,0.0839793281653747,0.0997335363532547,0.0285714285714286
"expyrs",6.02141440436346,6.09044178938594,5.96597459287033,6.35841203217908,3.2906976744186,3.45603349828702,2.97857142857143
"runemp16_devi",0.130551423494897,0.115236803251448,0.143023683254711,0.0499325830367122,0.967277195115773,0.692439000724005,0.717002801120449
"runemp18_devi",0.0322807516461398,0.0898517562067892,-0.0139047907483551,-0.0340842472001045,0.681045751633987,0.520308709703904,0.271778711484595
"runemp22_devi",-1.09836953747658,-1.09358985883878,-1.10193093746537,-1.11213916836409,-0.851874651669453,-1.01445994461736,-1.32579831932773
"rearn16_devi",0.012954133224263,0.0118835940766124,0.0138215992408979,0.00976368881793575,0.0306035503384632,0.0395915413207162,0.0405602885645026
"rearn18_devi",0.00941797641572242,0.00945485310467368,0.0093899265837847,0.0095167279368091,-0.00933966920017902,0.0136222271045808,0.0154946998259743
"rearn22_devi",0.0326294422317834,0.0327091480567465,0.0325580816224147,0.0331055431816826,0.0154285083836045,0.0323832812460467,0.0378599781216454
"hbachfee18_real",3519.08142138333,3420.4346232699,3598.19553833908,3304.66768751679,5188.85731801138,5272.76001592251,4988.20892457117
"runicount16",-0.0282290459319239,-0.0252581254848268,-0.0306236798949402,-0.0243525804741359,-0.0826558296403759,-0.0608651539134211,0.0367825057154241
"PGLoan2016",0.391657369530185,0.374062239510975,0.405898483407018,0.369359916054565,0.506459948320413,0.588123334602208,0.528571428571429
"runemp_current",5.15627556712533,5.21811614337316,5.10663719290391,5.13734872332984,5.62131782945736,5.21537875904073,5.21537875904073
"rearn_current",7.43016452181895,7.42650139760857,7.43311726525681,7.42205992925177,7.53654525758269,7.47743775626456,7.47743775626456
