year,NLW
1999,3.60
2000,3.70
2001,4.10
2002,4.20
2003,4.50
2004,4.85
2005,5.05
2006,5.35
2007,5.52
2008,5.73
2009,5.80
2010,5.93
2011,6.08
2012,6.19
2013,6.31
2014,6.50
2015,6.70
2016,7.20
2017,7.50
2018,7.83
2019,8.21
2020,8.72
2021,8.91
2022,9.50
2023,10.42
2024,11.44
2025,12.21
2026,12.71
